hs6_from,hs6_to,relationship
521119,521119,1:1
521120,521120,1:1
521131,521131,1:1
521132,521132,1:1
521139,521139,1:1
521141,521141,1:1
521142,521142,1:1
521143,521143,1:1
521149,521149,1:1
521151,521151,1:1
521152,521152,1:1
521159,521159,1:1
521211,521211,1:1
521212,521212,1:1
521213,521213,1:1
521214,521214,1:1
521215,521215,1:1
521221,521221,1:1
521222,521222,1:1
521223,521223,1:1
521224,521224,1:1
521225,521225,1:1
530110,530110,1:1
530121,530121,1:1
530129,530129,1:1
530130,530130,1:1
530210,530210,1:1
530290,530290,1:1
530310,530310,1:1
530390,530390,1:1
530500,530500,1:1
530610,530610,1:1
530620,530620,1:1
530710,530710,1:1
530720,530720,1:1
530810,530810,1:1
530820,530820,1:1
530890,530890,1:1
530911,530911,1:1
530919,530919,1:1
530921,530921,1:1
530929,530929,1:1
531010,531010,1:1
531090,531090,1:1
531100,531100,1:1
540110,540110,1:1
540120,540120,1:1
540211,540211,1:1
540219,540219,1:1
540220,540220,1:1
540231,540231,1:1
540232,540232,1:1
540233,540233,1:1
540234,540234,1:1
540239,540239,1:1
540244,540244,1:1
540245,540245,1:1
540246,540246,1:1
540247,540247,1:1
540248,540248,1:1
540249,540249,1:1
540251,540251,1:1
540252,540252,1:1
540253,540259,n:1
540259,540259,n:1
540261,540261,1:1
540262,540262,1:1
540263,540269,n:1
540269,540269,n:1
540310,540310,1:1
540331,540331,1:1
540332,540332,1:1
540333,540333,1:1
540339,540339,1:1
540341,540341,1:1
540342,540342,1:1
540349,540349,1:1
540411,540411,1:1
540412,540412,1:1
540419,540419,1:1
540490,540490,1:1
540500,540500,1:1
540600,540600,1:1
540710,540710,1:1
540720,540720,1:1
540730,540730,1:1
540741,540741,1:1
540742,540742,1:1
540743,540743,1:1
540744,540744,1:1
540751,540751,1:1
540752,540752,1:1
540753,540753,1:1
540754,540754,1:1
540761,540761,1:1
540769,540769,1:1
540771,540771,1:1
540772,540772,1:1
540773,540773,1:1
540774,540774,1:1
540781,540781,1:1
540782,540782,1:1
540783,540783,1:1
540784,540784,1:1
540791,540791,1:1
540792,540792,1:1
540793,540793,1:1
540794,540794,1:1
540810,540810,1:1
540821,540821,1:1
540822,540822,1:1
540823,540823,1:1
540824,540824,1:1
540831,540831,1:1
540832,540832,1:1
540833,540833,1:1
540834,540834,1:1
550110,550110,1:1
550120,550120,1:1
550130,550130,1:1
550140,550140,1:1
550190,550190,1:1
550210,550200,n:1
550290,550200,n:1
550311,550311,1:1
550319,550319,1:1
550320,550320,1:1
550330,550330,1:1
550340,550340,1:1
550390,550390,1:1
550410,550410,1:1
550490,550490,1:1
550510,550510,1:1
550520,550520,1:1
550610,550610,1:1
550620,550620,1:1
550630,550630,1:1
550640,550690,n:1
550690,550690,n:1
550700,550700,1:1
550810,550810,1:1
550820,550820,1:1
550911,550911,1:1
550912,550912,1:1
550921,550921,1:1
550922,550922,1:1
550931,550931,1:1
550932,550932,1:1
550941,550941,1:1
550942,550942,1:1
550951,550951,1:1
550952,550952,1:1
550953,550953,1:1
550959,550959,1:1
550961,550961,1:1
550962,550962,1:1
550969,550969,1:1
550991,550991,1:1
550992,550992,1:1
550999,550999,1:1
551011,551011,1:1
551012,551012,1:1
551020,551020,1:1
551030,551030,1:1
551090,551090,1:1
551110,551110,1:1
551120,551120,1:1
551130,551130,1:1
551211,551211,1:1
551219,551219,1:1
551221,551221,1:1
551229,551229,1:1
551291,551291,1:1
551299,551299,1:1
551311,551311,1:1
551312,551312,1:1
551313,551313,1:1
551319,551319,1:1
551321,551321,1:1
551323,551323,1:1
551329,551329,1:1
551331,551331,1:1
551339,551339,1:1
551341,551341,1:1
551349,551349,1:1
551411,551411,1:1
551412,551412,1:1
551419,551419,1:1
551421,551421,1:1
551422,551422,1:1
551423,551423,1:1
551429,551429,1:1
551430,551430,1:1
551441,551441,1:1
551442,551442,1:1
551443,551443,1:1
551449,551449,1:1
551511,551511,1:1
551512,551512,1:1
551513,551513,1:1
551519,551519,1:1
551521,551521,1:1
551522,551522,1:1
551529,551529,1:1
551591,551591,1:1
551599,551599,1:1
551611,551611,1:1
551612,551612,1:1
551613,551613,1:1
551614,551614,1:1
551621,551621,1:1
551622,551622,1:1
551623,551623,1:1
551624,551624,1:1
551631,551631,1:1
551632,551632,1:1
551633,551633,1:1
551634,551634,1:1
551641,551641,1:1
551642,551642,1:1
551643,551643,1:1
551644,551644,1:1
551691,551691,1:1
551692,551692,1:1
551693,551693,1:1
551694,551694,1:1
560121,560121,1:1
560122,560122,1:1
560129,560129,1:1
560130,560130,1:1
560210,560210,1:1
560221,560221,1:1
560229,560229,1:1
560290,560290,1:1
560311,560311,1:1
560312,560312,1:1
560313,560313,1:1
560314,560314,1:1
560391,560391,1:1
560392,560392,1:1
560393,560393,1:1
560394,560394,1:1
560410,560410,1:1
560490,560490,1:1
560500,560500,1:1
560600,560600,1:1
560721,560721,1:1
560729,560729,1:1
560741,560741,1:1
560749,560749,1:1
560750,560750,1:1
560790,560790,1:1
560811,560811,1:1
560819,560819,1:1
560890,560890,1:1
560900,560900,1:1
570110,570110,1:1
570190,570190,1:1
570210,570210,1:1
570220,570220,1:1
570231,570231,1:1
570232,570232,1:1
570239,570239,1:1
570241,570241,1:1
570242,570242,1:1
570249,570249,1:1
570250,570250,1:1
570291,570291,1:1
570292,570292,1:1
570299,570299,1:1
570310,570310,1:1
570320,570320,1:1
570330,570330,1:1
570390,570390,1:1
570410,570410,1:1
570420,570490,n:1
570490,570490,n:1
570500,570500,1:1
580110,580110,1:1
580121,580121,1:1
580122,580122,1:1
580123,580123,1:1
580126,580126,1:1
580127,580127,1:1
580131,580131,1:1
580132,580132,1:1
580133,580133,1:1
580136,580136,1:1
580137,580137,1:1
580190,580190,1:1
580211,580211,1:1
580219,580219,1:1
580220,580220,1:1
580230,580230,1:1
580300,580300,1:1
580410,580410,1:1
580421,580421,1:1
580429,580429,1:1
580430,580430,1:1
580500,580500,1:1
580610,580610,1:1
580620,580620,1:1
580631,580631,1:1
580632,580632,1:1
580639,580639,1:1
580640,580640,1:1
580710,580710,1:1
580790,580790,1:1
580810,580810,1:1
580890,580890,1:1
580900,580900,1:1
581010,581010,1:1
581091,581091,1:1
581092,581092,1:1
581099,581099,1:1
581100,581100,1:1
590110,590110,1:1
590190,590190,1:1
590210,590210,1:1
590220,590220,1:1
590290,590290,1:1
590310,590310,1:1
590320,590320,1:1
590390,590390,1:1
590410,590410,1:1
590490,590490,1:1
590500,590500,1:1
590610,590610,1:1
590691,590691,1:1
590699,590699,1:1
590700,590700,1:1
590800,590800,1:1
590900,590900,1:1
591000,591000,1:1
591110,591110,1:1
591120,591120,1:1
591131,591131,1:1
591132,591132,1:1
591140,591140,1:1
591190,591190,1:1
600110,600110,1:1
600121,600121,1:1
600122,600122,1:1
600129,600129,1:1
600191,600191,1:1
600192,600192,1:1
600199,600199,1:1
600240,600240,1:1
600290,600290,1:1
600310,600310,1:1
600320,600320,1:1
600330,600330,1:1
600340,600340,1:1
600390,600390,1:1
600410,600410,1:1
600490,600490,1:1
600521,600521,1:1
600522,600522,1:1
600523,600523,1:1
600524,600524,1:1
600535,600531,n:n
600535,600532,n:n
600535,600533,n:n
600535,600534,n:n
600536,600531,n:1
600537,600532,n:1
600538,600533,n:1
600539,600534,n:1
600541,600541,1:1
600542,600542,1:1
600543,600543,1:1
600544,600544,1:1
600590,600590,1:1
600610,600610,1:1
600621,600621,1:1
600622,600622,1:1
600623,600623,1:1
600624,600624,1:1
600631,600631,1:1
600632,600632,1:1
600633,600633,1:1
600634,600634,1:1
600641,600641,1:1
600642,600642,1:1
600643,600643,1:1
600644,600644,1:1
600690,600690,1:1
610120,610120,1:1
610130,610130,1:1
610190,610190,1:1
610210,610210,1:1
610220,610220,1:1
610230,610230,1:1
610290,610290,1:1
610310,610310,1:1
610322,610322,1:1
610323,610323,1:1
610329,610329,1:1
610331,610331,1:1
610332,610332,1:1
610333,610333,1:1
610339,610339,1:1
610341,610341,1:1
610342,610342,1:1
610343,610343,1:1
610349,610349,1:1
610413,610413,1:1
610419,610419,1:1
610422,610422,1:1
610423,610423,1:1
610429,610429,1:1
610431,610431,1:1
610432,610432,1:1
610433,610433,1:1
610439,610439,1:1
610441,610441,1:1
610442,610442,1:1
610443,610443,1:1
610444,610444,1:1
610449,610449,1:1
610451,610451,1:1
610452,610452,1:1
610453,610453,1:1
610459,610459,1:1
610461,610461,1:1
610462,610462,1:1
610463,610463,1:1
610469,610469,1:1
610510,610510,1:1
610520,610520,1:1
610590,610590,1:1
610610,610610,1:1
610620,610620,1:1
610690,610690,1:1
610711,610711,1:1
610712,610712,1:1
610719,610719,1:1
610721,610721,1:1
610722,610722,1:1
610729,610729,1:1
610791,610791,1:1
610799,610799,1:1
610811,610811,1:1
610819,610819,1:1
610821,610821,1:1
610822,610822,1:1
610829,610829,1:1
610831,610831,1:1
610832,610832,1:1
610839,610839,1:1
610891,610891,1:1
610892,610892,1:1
610899,610899,1:1
610910,610910,1:1
610990,610990,1:1
611011,611011,1:1
611012,611012,1:1
611019,611019,1:1
611020,611020,1:1
611030,611030,1:1
611090,611090,1:1
611120,611120,1:1
611130,611130,1:1
611190,611190,1:1
611211,611211,1:1
611212,611212,1:1
611219,611219,1:1
611220,611220,1:1
611231,611231,1:1
611239,611239,1:1
611241,611241,1:1
611249,611249,1:1
611300,611300,1:1
611420,611420,1:1
611430,611430,1:1
611490,611490,1:1
611510,611510,1:1
611521,611521,1:1
611522,611522,1:1
611529,611529,1:1
611530,611530,1:1
611594,611594,1:1
611595,611595,1:1
611596,611596,1:1
611599,611599,1:1
611610,611610,1:1
611691,611691,1:1
611692,611692,1:1
611693,611693,1:1
611699,611699,1:1
611710,611710,1:1
611780,611780,1:1
611790,611790,1:1
620111,620111,1:1
620112,620112,1:1
620113,620113,1:1
620119,620119,1:1
620191,620191,1:1
620192,620192,1:1
620193,620193,1:1
620199,620199,1:1
620211,620211,1:1
620212,620212,1:1
620213,620213,1:1
620219,620219,1:1
620291,620291,1:1
620292,620292,1:1
620293,620293,1:1
620299,620299,1:1
620311,620311,1:1
620312,620312,1:1
620319,620319,1:1
620322,620322,1:1
620323,620323,1:1
620329,620329,1:1
620331,620331,1:1
620332,620332,1:1
620333,620333,1:1
620339,620339,1:1
620341,620341,1:1
620342,620342,1:1
620343,620343,1:1
620349,620349,1:1
620411,620411,1:1
620412,620412,1:1
620413,620413,1:1
620419,620419,1:1
620421,620421,1:1
620422,620422,1:1
620423,620423,1:1
620429,620429,1:1
620431,620431,1:1
620432,620432,1:1
620433,620433,1:1
620439,620439,1:1
620441,620441,1:1
620442,620442,1:1
620443,620443,1:1
620444,620444,1:1
620449,620449,1:1
620451,620451,1:1
620452,620452,1:1
620453,620453,1:1
620459,620459,1:1
620461,620461,1:1
620462,620462,1:1
620463,620463,1:1
620469,620469,1:1
620520,620520,1:1
620530,620530,1:1
620590,620590,1:1
620610,620610,1:1
620620,620620,1:1
620630,620630,1:1
620640,620640,1:1
620690,620690,1:1
620711,620711,1:1
620719,620719,1:1
620721,620721,1:1
620722,620722,1:1
620729,620729,1:1
620791,620791,1:1
620799,620799,1:1
620811,620811,1:1
620819,620819,1:1
620821,620821,1:1
620822,620822,1:1
620829,620829,1:1
620891,620891,1:1
620892,620892,1:1
620899,620899,1:1
620920,620920,1:1
620930,620930,1:1
620990,620990,1:1
621010,621010,1:1
621020,621020,1:1
621030,621030,1:1
621040,621040,1:1
621050,621050,1:1
621111,621111,1:1
621112,621112,1:1
621120,621120,1:1
621132,621132,1:1
621133,621133,1:1
621139,621139,1:1
621142,621142,1:1
621143,621143,1:1
621149,621149,1:1
621210,621210,1:1
621220,621220,1:1
621230,621230,1:1
621290,621290,1:1
621320,621320,1:1
621390,621390,1:1
621410,621410,1:1
621420,621420,1:1
621430,621430,1:1
621440,621440,1:1
621490,621490,1:1
621510,621510,1:1
621520,621520,1:1
621590,621590,1:1
621600,621600,1:1
621710,621710,1:1
621790,621790,1:1
630110,630110,1:1
630120,630120,1:1
630130,630130,1:1
630140,630140,1:1
630190,630190,1:1
630210,630210,1:1
630221,630221,1:1
630222,630222,1:1
630229,630229,1:1
630231,630231,1:1
630232,630232,1:1
630239,630239,1:1
630240,630240,1:1
630251,630251,1:1
630253,630253,1:1
630259,630259,1:1
630260,630260,1:1
630291,630291,1:1
630293,630293,1:1
630299,630299,1:1
630312,630312,1:1
630319,630319,1:1
630391,630391,1:1
630392,630392,1:1
630399,630399,1:1
630411,630411,1:1
630419,630419,1:1
630420,630491,n:1
630491,630491,n:1
630492,630492,1:1
630493,630493,1:1
630499,630499,1:1
630510,630510,1:1
630520,630520,1:1
630532,630532,1:1
630533,630533,1:1
630539,630539,1:1
630590,630590,1:1
630612,630612,1:1
630619,630619,1:1
630622,630622,1:1
630629,630629,1:1
630630,630630,1:1
630640,630640,1:1
630690,630690,1:1
630710,630710,1:1
630720,630720,1:1
630790,630790,1:1
630800,630800,1:1
630900,630900,1:1
631010,631010,1:1
631090,631090,1:1
640110,640110,1:1
640192,640192,1:1
640199,640199,1:1
640212,640212,1:1
640219,640219,1:1
640220,640220,1:1
640291,640291,1:1
640299,640299,1:1
640312,640312,1:1
640319,640319,1:1
640320,640320,1:1
640340,640340,1:1
640351,640351,1:1
640359,640359,1:1
640391,640391,1:1
640399,640399,1:1
640411,640411,1:1
640419,640419,1:1
640420,640420,1:1
640510,640510,1:1
640520,640520,1:1
640590,640590,1:1
640610,640610,1:1
640620,640620,1:1
640690,640690,1:1
650100,650100,1:1
650200,650200,1:1
650400,650400,1:1
650500,650500,1:1
650610,650610,1:1
650691,650691,1:1
650699,650699,1:1
650700,650700,1:1
660110,660110,1:1
660191,660191,1:1
660199,660199,1:1
660200,660200,1:1
660320,660320,1:1
660390,660390,1:1
670100,670100,1:1
670210,670210,1:1
670290,670290,1:1
670300,670300,1:1
670411,670411,1:1
670419,670419,1:1
670420,670420,1:1
670490,670490,1:1
680100,680100,1:1
680210,680210,1:1
680221,680221,1:1
680223,680223,1:1
680229,680229,1:1
680291,680291,1:1
680292,680292,1:1
680293,680293,1:1
680299,680299,1:1
680300,680300,1:1
680410,680410,1:1
680421,680421,1:1
680422,680422,1:1
680423,680423,1:1
680430,680430,1:1
680510,680510,1:1
680520,680520,1:1
680530,680530,1:1
680610,680610,1:1
680620,680620,1:1
680690,680690,1:1
680710,680710,1:1
680790,680790,1:1
680800,680800,1:1
680911,680911,1:1
680919,680919,1:1
680990,680990,1:1
681011,681011,1:1
681019,681019,1:1
681091,681091,1:1
681099,681099,1:1
681140,681140,1:1
681181,681181,1:1
681182,681182,1:1
681189,681189,1:1
681280,681280,1:1
681291,681291,1:1
681292,681292,1:1
681293,681293,1:1
681299,681299,1:1
681320,681320,1:1
681381,681381,1:1
681389,681389,1:1
681410,681410,1:1
681490,681490,1:1
681510,681510,n:1
681520,681520,1:1
681591,681591,1:1
681599,681599,1:1
690100,690100,1:1
690210,690210,1:1
690220,690220,1:1
690290,690290,1:1
690310,690310,1:1
690320,690320,1:1
690390,690390,1:1
690410,690410,1:1
690490,690490,1:1
690510,690510,1:1
690590,690590,1:1
690600,690600,1:1
690721,690710,n:n
690721,690790,n:n
690721,690810,n:n
690721,690890,n:n
690722,690710,n:n
690722,690790,n:n
690722,690810,n:n
690722,690890,n:n
690723,690710,n:n
690723,690790,n:n
690723,690810,n:n
690723,690890,n:n
690730,690710,n:n
690730,690790,n:n
690730,690810,n:n
690730,690890,n:n
690740,690710,n:n
690740,690790,n:n
690740,690810,n:n
690740,690890,n:n
690911,690911,1:1
690912,690912,1:1
690919,690919,1:1
690990,690990,1:1
691010,691010,1:1
691090,691090,1:1
691110,691110,1:1
691190,691190,1:1
691200,691200,1:1
691310,691310,1:1
691390,691390,1:1
691410,691410,1:1
691490,691490,1:1
700100,700100,1:1
700210,700210,1:1
700220,700220,1:1
700231,700231,1:1
700232,700232,1:1
700239,700239,1:1
700312,700312,1:1
700319,700319,1:1
700320,700320,1:1
700330,700330,1:1
700420,700420,1:1
700490,700490,1:1
700510,700510,1:1
700521,700521,1:1
700529,700529,1:1
700530,700530,1:1
700600,700600,1:1
700711,700711,1:1
700719,700719,1:1
700721,700721,1:1
700729,700729,1:1
700800,700800,1:1
700910,700910,1:1
700991,700991,1:1
700992,700992,1:1
701010,701010,1:1
701020,701020,1:1
701090,701090,1:1
701110,701110,1:1
701120,701120,1:1
701190,701190,1:1
701310,701310,1:1
701322,701322,1:1
701328,701328,1:1
701333,701333,1:1
701337,701337,1:1
701341,701341,1:1
701342,701342,1:1
701349,701349,1:1
701391,701391,1:1
701399,701399,1:1
701400,701400,1:1
701510,701510,1:1
701590,701590,1:1
701610,701610,1:1
701690,701690,1:1
701710,701710,1:1
701720,701720,1:1
701790,701790,1:1
701810,701810,1:1
701820,701820,1:1
701890,701890,1:1
701911,701911,1:1
701912,701912,1:1
701919,701919,1:1
701931,701931,1:1
701932,701932,1:1
701939,701939,1:1
701940,701940,1:1
701951,701951,1:1
701952,701952,1:1
701959,701959,1:1
701990,701990,1:1
702000,702000,1:1
710110,710110,1:1
710121,710121,1:1
710122,710122,1:1
710210,710210,1:1
710221,710221,1:1
710229,710229,1:1
710231,710231,1:1
710239,710239,1:1
710310,710310,1:1
710391,710391,1:1
710399,710399,1:1
710410,710410,1:1
710420,710420,1:1
710490,710490,1:1
710510,710510,1:1
710590,710590,1:1
710610,710610,1:1
710691,710691,1:1
710692,710692,1:1
710700,710700,1:1
710811,710811,1:1
710812,710812,1:1
710813,710813,1:1
710820,710820,1:1
710900,710900,1:1
711011,711011,1:1
711019,711019,1:1
711021,711021,1:1
711029,711029,1:1
711031,711031,1:1
711039,711039,1:1
711041,711041,1:1
711049,711049,1:1
711100,711100,1:1
711230,711230,1:1
711291,711291,1:1
711292,711292,1:1
711299,711299,1:1
711311,711311,1:1
711319,711319,1:1
711320,711320,1:1
711411,711411,1:1
711419,711419,1:1
711420,711420,1:1
711510,711510,1:1
711590,711590,1:1
711610,711610,1:1
711620,711620,1:1
711711,711711,1:1
711719,711719,1:1
711790,711790,1:1
711810,711810,1:1
711890,711890,1:1
720110,720110,1:1
720120,720120,1:1
720150,720150,1:1
720211,720211,1:1
720219,720219,1:1
720221,720221,1:1
720229,720229,1:1
720230,720230,1:1
720241,720241,1:1
720249,720249,1:1
720250,720250,1:1
720260,720260,1:1
720270,720270,1:1
720280,720280,1:1
720291,720291,1:1
720292,720292,1:1
720293,720293,1:1
720299,720299,1:1
720310,720310,1:1
720390,720390,1:1
720410,720410,1:1
720421,720421,1:1
720429,720429,1:1
720430,720430,1:1
720441,720441,1:1
720449,720449,1:1
720450,720450,1:1
720510,720510,1:1
720521,720521,1:1
720529,720529,1:1
720610,720610,1:1
720690,720690,1:1
720711,720711,1:1
720712,720712,1:1
720719,720719,1:1
720720,720720,1:1
720810,720810,1:1
720825,720825,1:1
720826,720826,1:1
720827,720827,1:1
720836,720836,1:1
720837,720837,1:1
720838,720838,1:1
720839,720839,1:1
720840,720840,1:1
720851,720851,1:1
720852,720852,1:1
720853,720853,1:1
720854,720854,1:1
720890,720890,1:1
720915,720915,1:1
720916,720916,1:1
720917,720917,1:1
720918,720918,1:1
720925,720925,1:1
720926,720926,1:1
720927,720927,1:1
720928,720928,1:1
720990,720990,1:1
721011,721011,1:1
721012,721012,1:1
721020,721020,1:1
721030,721030,1:1
721041,721041,1:1
721049,721049,1:1
721050,721050,1:1
721061,721061,1:1
721069,721069,1:1
721070,721070,1:1
721090,721090,1:1
721113,721113,1:1
721114,721114,1:1
721119,721119,1:1
721123,721123,1:1
721129,721129,1:1
721190,721190,1:1
721210,721210,1:1
721220,721220,1:1
721230,721230,1:1
721240,721240,1:1
721250,721250,1:1
721260,721260,1:1
721310,721310,1:1
721320,721320,1:1
721391,721391,1:1
721399,721399,1:1
721410,721410,1:1
721420,721420,1:1
721430,721430,1:1
721491,721491,1:1
721499,721499,1:1
721510,721510,1:1
721550,721550,1:1
721590,721590,1:1
721610,721610,1:1
721621,721621,1:1
721622,721622,1:1
721631,721631,1:1
721632,721632,1:1
721633,721633,1:1
721640,721640,1:1
721650,721650,1:1
721661,721661,1:1
721669,721669,1:1
721691,721691,1:1
721699,721699,1:1
721710,721710,1:1
721720,721720,1:1
721730,721730,1:1
721790,721790,1:1
721810,721810,1:1
721891,721891,1:1
721899,721899,1:1
721911,721911,1:1
721912,721912,1:1
721913,721913,1:1
721914,721914,1:1
721921,721921,1:1
721922,721922,1:1
721923,721923,1:1
721924,721924,1:1
721931,721931,1:1
721932,721932,1:1
721933,721933,1:1
721934,721934,1:1
721935,721935,1:1
721990,721990,1:1
722011,722011,1:1
722012,722012,1:1
722020,722020,1:1
722090,722090,1:1
722100,722100,1:1
722211,722211,1:1
722219,722219,1:1
722220,722220,1:1
722230,722230,1:1
722240,722240,1:1
722300,722300,1:1
722410,722410,1:1
722490,722490,1:1
722511,722511,1:1
722519,722519,1:1
722530,722530,1:1
722540,722540,1:1
722550,722550,1:1
722591,722591,1:1
722592,722592,1:1
722599,722599,1:1
722611,722611,1:1
722619,722619,1:1
722620,722620,1:1
722691,722691,1:1
722692,722692,1:1
722699,722699,1:1
722710,722710,1:1
722720,722720,1:1
722790,722790,1:1
722810,722810,1:1
722820,722820,1:1
722830,722830,1:1
722840,722840,1:1
722850,722850,1:1
722860,722860,1:1
722870,722870,1:1
722880,722880,1:1
722920,722920,1:1
722990,722990,1:1
730110,730110,1:1
730120,730120,1:1
730210,730210,1:1
730230,730230,1:1
730240,730240,1:1
730290,730290,1:1
730300,730300,1:1
730411,730411,1:1
730419,730419,1:1
730422,730422,1:1
730423,730423,1:1
730424,730424,1:1
730429,730429,1:1
730431,730431,1:1
730439,730439,1:1
730441,730441,1:1
730449,730449,1:1
730451,730451,1:1
730459,730459,1:1
730490,730490,1:1
730511,730511,1:1
730512,730512,1:1
730519,730519,1:1
730520,730520,1:1
730531,730531,1:1
730539,730539,1:1
730590,730590,1:1
730611,730611,1:1
730619,730619,1:1
730621,730621,1:1
730629,730629,1:1
730630,730630,1:1
730640,730640,1:1
730650,730650,1:1
730661,730661,1:1
730669,730669,1:1
730690,730690,1:1
730711,730711,1:1
730719,730719,1:1
730721,730721,1:1
730722,730722,1:1
730723,730723,1:1
730729,730729,1:1
730791,730791,1:1
730792,730792,1:1
730793,730793,1:1
730799,730799,1:1
730810,730810,1:1
730820,730820,1:1
730830,730830,1:1
730840,730840,1:1
730890,730890,1:1
730900,730900,1:1
731010,731010,1:1
731021,731021,1:1
731029,731029,1:1
731100,731100,1:1
731210,731210,1:1
731290,731290,1:1
731300,731300,1:1
731412,731412,1:1
731414,731414,1:1
731419,731419,1:1
731420,731420,1:1
731431,731431,1:1
731439,731439,1:1
731441,731441,1:1
731442,731442,1:1
731449,731449,1:1
731450,731450,1:1
731511,731511,1:1
731512,731512,1:1
731519,731519,1:1
731520,731520,1:1
731581,731581,1:1
731582,731582,1:1
731589,731589,1:1
731590,731590,1:1
731600,731600,1:1
731700,731700,1:1
731811,731811,1:1
731812,731812,1:1
731813,731813,1:1
731814,731814,1:1
731815,731815,1:1
731816,731816,1:1
731819,731819,1:1
731821,731821,1:1
731822,731822,1:1
731823,731823,1:1
731824,731824,1:1
731829,731829,1:1
731940,731940,1:1
731990,731990,1:1
732010,732010,1:1
732020,732020,1:1
732090,732090,1:1
732111,732111,1:1
732112,732112,1:1
732119,732119,1:1
732181,732181,1:1
732182,732182,1:1
732189,732189,1:1
732190,732190,1:1
732211,732211,1:1
732219,732219,1:1
732290,732290,1:1
732310,732310,1:1
732391,732391,1:1
732392,732392,1:1
732393,732393,1:1
732394,732394,1:1
732399,732399,1:1
732410,732410,1:1
732421,732421,1:1
732429,732429,1:1
732490,732490,1:1
732510,732510,1:1
732591,732591,1:1
732599,732599,1:1
732611,732611,1:1
732619,732619,1:1
732620,732620,1:1
732690,732690,n:1
740100,740100,1:1
740200,740200,1:1
740311,740311,1:1
740312,740312,1:1
740313,740313,1:1
740319,740319,1:1
740321,740321,1:1
740322,740322,1:1
740329,740329,1:1
740400,740400,1:1
740500,740500,1:1
740610,740610,1:1
740620,740620,1:1
740710,740710,1:1
740721,740721,1:1
740729,740729,1:1
740811,740811,1:1
740819,740819,1:1
740821,740821,1:1
740822,740822,1:1
740829,740829,1:1
740911,740911,1:1
740919,740919,1:1
740921,740921,1:1
740929,740929,1:1
740931,740931,1:1
740939,740939,1:1
740940,740940,1:1
740990,740990,1:1
741011,741011,1:1
741012,741012,1:1
741021,741021,1:1
741022,741022,1:1
741110,741110,1:1
741121,741121,1:1
741122,741122,1:1
741129,741129,1:1
741210,741210,1:1
741220,741220,1:1
741300,741300,1:1
741510,741510,1:1
741521,741521,1:1
741529,741529,1:1
741533,741533,1:1
741539,741539,1:1
741810,741810,1:1
741820,741820,1:1
741910,741910,1:1
741991,741991,1:1
741999,741999,1:1
750110,750110,1:1
750120,750120,1:1
750210,750210,1:1
750220,750220,1:1
750300,750300,1:1
750400,750400,1:1
750511,750511,1:1
750512,750512,1:1
750521,750521,1:1
750522,750522,1:1
750610,750610,1:1
750620,750620,1:1
750711,750711,1:1
750712,750712,1:1
750720,750720,1:1
750810,750810,1:1
750890,750890,1:1
760110,760110,1:1
760120,760120,1:1
760200,760200,1:1
760310,760310,1:1
760320,760320,1:1
760410,760410,1:1
760421,760421,1:1
760429,760429,1:1
760511,760511,1:1
760519,760519,1:1
760521,760521,1:1
760529,760529,1:1
760611,760611,1:1
760612,760612,1:1
760691,760691,1:1
760692,760692,1:1
760711,760711,1:1
760719,760719,1:1
760720,760720,1:1
760810,760810,1:1
760820,760820,1:1
760900,760900,1:1
761010,761010,1:1
761090,761090,1:1
761100,761100,1:1
761210,761210,1:1
761290,761290,1:1
761300,761300,1:1
761410,761410,1:1
761490,761490,1:1
761510,761510,1:1
761520,761520,1:1
761610,761610,1:1
761691,761691,1:1
761699,761699,n:1
780110,780110,1:1
780191,780191,1:1
780199,780199,1:1
780200,780200,1:1
780411,780411,1:1
780419,780419,1:1
780420,780420,1:1
780600,780600,1:1
790111,790111,1:1
790112,790112,1:1
790120,790120,1:1
790200,790200,1:1
790310,790310,1:1
790390,790390,1:1
790400,790400,1:1
790500,790500,1:1
790700,790700,1:1
800110,800110,1:1
800120,800120,1:1
800200,800200,1:1
800300,800300,1:1
800700,800700,1:1
810110,810110,1:1
810194,810194,1:1
810196,810196,1:1
810197,810197,1:1
810199,810199,1:1
810210,810210,1:1
810294,810294,1:1
810295,810295,1:1
810296,810296,1:1
810297,810297,1:1
810299,810299,1:1
810320,810320,1:1
810330,810330,1:1
810390,810390,1:1
810411,810411,1:1
810419,810419,1:1
810420,810420,1:1
810430,810430,1:1
810490,810490,1:1
810520,810520,1:1
810530,810530,1:1
810590,810590,1:1
810600,810600,1:1
810720,810720,1:1
810730,810730,1:1
810790,810790,1:1
810820,810820,1:1
810830,810830,1:1
810890,810890,1:1
810920,810920,1:1
810930,810930,1:1
810990,810990,1:1
811010,811010,1:1
811020,811020,1:1
811090,811090,1:1
811100,811100,1:1
811212,811212,1:1
811213,811213,1:1
811219,811219,1:1
811221,811221,1:1
811222,811222,1:1
811229,811229,1:1
811251,811251,1:1
811252,811252,1:1
811259,811259,1:1
811292,811292,1:1
811299,811299,1:1
811300,811300,1:1
820110,820110,1:1
820130,820130,1:1
820140,820140,1:1
820150,820150,1:1
820160,820160,1:1
820190,820190,1:1
820210,820210,1:1
820220,820220,1:1
820231,820231,1:1
820239,820239,1:1
820240,820240,1:1
820291,820291,1:1
820299,820299,1:1
820310,820310,1:1
820320,820320,1:1
820330,820330,1:1
820340,820340,1:1
820411,820411,1:1
820412,820412,1:1
820420,820420,1:1
